H;120
He;140
Li;182
Be;153
B;192
C;170
N;155
O;152
F;147
Ne;154
Na;227
Mg;173
Al;184
Si;210
P;180
S;180
Cl;175
Ar;188
K;275
Ca;231
Sc;211
Ti;200
V;200
Cr;200
Mn;200
Fe;200
Co;200
Ni;163
Cu;140
Zn;139
Ga;187
Ge;211
As;185
Se;190
Br;185
Kr;202
Rb;303
Sr;249
Y;200
Zr;200
Nb;200
Mo;200
Tc;200
Ru;200
Rh;200
Pd;163
Ag;172
Cd;158
In;193
Sn;217
Sb;206
Te;206
I;198
Xe;216
Cs;343
Ba;268
La;200
Ce;200
Pr;200
Nd;200
Pm;200
Sm;200
Eu;200
Gd;200
Tb;200
Dy;200
Ho;200
Er;200
Tm;200
Yb;200
Lu;200
Hf;200
Ta;200
W;200
Re;200
Os;200
Ir;200
Pt;175
Au;166
Hg;155
Tl;196
Pb;202
Bi;207
Po;197
At;202
Rn;220
Fr;348
Ra;283
Ac;200
Th;200
Pa;200
U;186
Np;200
Pu;200
Am;200
Cm;200
Bk;200
Cf;200
Es;200
Fm;200
Md;200
No;200
Lr;200
Rf;200
Db;200
Sg;200
Bh;200
Hs;200
Mt;200
